hypothesis_id,title,subtitle,card_path,providers,total_impact
H0342,"H0342 — Provider exceeds state-level 95th percentile for T1015 (Clinic visit/encounter,...","Top 20 flagged providers · 412 total · $2,489,228,681 estimated exposure",output/cards/hypotheses/H0342.png,412,2489228680.8700004
H0343,H0343 — Provider exceeds state-level 95th percentile for 99213 (Code 99213),"Top 20 flagged providers · 1787 total · $2,686,057,505 estimated exposure",output/cards/hypotheses/H0343.png,1787,2686057505.1499996
H0344,H0344 — Provider exceeds state-level 95th percentile for 99214 (Code 99214),"Top 20 flagged providers · 1194 total · $1,033,660,779 estimated exposure",output/cards/hypotheses/H0344.png,1194,1033660778.6199999
H0345,H0345 — Provider exceeds state-level 95th percentile for H0015 (Alcohol and/or drug...,"Top 20 flagged providers · 104 total · $293,957,043 estimated exposure",output/cards/hypotheses/H0345.png,104,293957043.04999995
H0346,H0346 — Provider exceeds state-level 95th percentile for T2003 (Non-emergency...,"Top 20 flagged providers · 389 total · $231,369,120 estimated exposure",output/cards/hypotheses/H0346.png,389,231369120.27
H0347,"H0347 — Provider exceeds state-level 95th percentile for T1005 (Respite care services,...","Top 20 flagged providers · 75 total · $40,781,115 estimated exposure",output/cards/hypotheses/H0347.png,75,40781114.599999994
H0348,H0348 — Provider exceeds state-level 95th percentile for 99215 (Code 99215),"Top 20 flagged providers · 466 total · $253,546,624 estimated exposure",output/cards/hypotheses/H0348.png,466,253546624.04
H0349,H0349 — Provider exceeds state-level 95th percentile for T2025 (Waiver services; not...),"Top 20 flagged providers · 14 total · $77,401,273 estimated exposure",output/cards/hypotheses/H0349.png,14,77401273.01
H0350,H0350 — Provider exceeds state-level 95th percentile for 99212 (Code 99212),"Top 20 flagged providers · 1846 total · $1,552,518,924 estimated exposure",output/cards/hypotheses/H0350.png,1846,1552518923.8899996
H0351,"H0351 — Provider exceeds state-level 95th percentile for T1020 (Personal care services,...","Top 20 flagged providers · 106 total · $439,064,367 estimated exposure",output/cards/hypotheses/H0351.png,106,439064367.21000004
H0352,H0352 — Provider exceeds state-level 95th percentile for H2015 (Comprehensive...,"Top 20 flagged providers · 226 total · $416,956,783 estimated exposure",output/cards/hypotheses/H0352.png,226,416956782.70000005
H0353,H0353 — Provider exceeds state-level 95th percentile for H2016 (Comprehensive...,"Top 20 flagged providers · 302 total · $2,458,504,104 estimated exposure",output/cards/hypotheses/H0353.png,302,2458504103.59
H0354,H0354 — Provider exceeds state-level 95th percentile for 99203 (Code 99203),"Top 20 flagged providers · 335 total · $48,732,527 estimated exposure",output/cards/hypotheses/H0354.png,335,48732527.24999999
H0355,H0355 — Provider exceeds state-level 95th percentile for 99204 (Code 99204),"Top 20 flagged providers · 221 total · $40,366,800 estimated exposure",output/cards/hypotheses/H0355.png,221,40366799.81999999
H0356,H0356 — Provider exceeds state-level 95th percentile for 99202 (Code 99202),"Top 20 flagged providers · 399 total · $71,695,861 estimated exposure",output/cards/hypotheses/H0356.png,399,71695860.89000002
H0357,H0357 — Provider exceeds state-level 95th percentile for 99211 (Code 99211),"Top 20 flagged providers · 1373 total · $1,064,345,542 estimated exposure",output/cards/hypotheses/H0357.png,1373,1064345541.5000001
H0358,H0358 — Provider exceeds state-level 95th percentile for T2024 (Service assessment/plan...,"Top 20 flagged providers · 6 total · $337,372 estimated exposure",output/cards/hypotheses/H0358.png,6,337372.2
H0359,H0359 — Provider exceeds state-level 95th percentile for 97110 (Code 97110),"Top 20 flagged providers · 1388 total · $913,856,557 estimated exposure",output/cards/hypotheses/H0359.png,1388,913856557.1699998
H0360,H0360 — Provider exceeds state-level 95th percentile for 97530 (Code 97530),"Top 20 flagged providers · 1542 total · $855,473,244 estimated exposure",output/cards/hypotheses/H0360.png,1542,855473243.54
H0361,H0361 — Provider exceeds specialty 95th percentile (Family Medicine),"Top 20 flagged providers · 14685 total · $490,251,574,784 estimated exposure",output/cards/hypotheses/H0361.png,14685,490251574783.8701
H0362,H0362 — Provider exceeds specialty 95th percentile (Internal Medicine),"Top 20 flagged providers · 14685 total · $490,251,574,784 estimated exposure",output/cards/hypotheses/H0362.png,14685,490251574783.87024
H0363,H0363 — Provider exceeds specialty 95th percentile (Pediatrics),"Top 20 flagged providers · 14685 total · $490,251,574,784 estimated exposure",output/cards/hypotheses/H0363.png,14685,490251574783.87
H0364,H0364 — Provider exceeds specialty 95th percentile (Nurse Practitioner),"Top 20 flagged providers · 14685 total · $490,251,574,784 estimated exposure",output/cards/hypotheses/H0364.png,14685,490251574783.86993
H0365,H0365 — Provider exceeds specialty 95th percentile (Clinical Social Worker),"Top 20 flagged providers · 14685 total · $490,251,574,784 estimated exposure",output/cards/hypotheses/H0365.png,14685,490251574783.86993
