row_number,reason,raw_row
28903,servicing_npi,1477628758|A423525800|S5140|2021-07|195|7279|1795478.53
29114,servicing_npi,1043385420|A423525800|S5140|2022-04|186|6497|1785691.70
29137,servicing_npi,1043385420|A423525800|S5140|2022-05|182|6810|1784534.33
29274,servicing_npi,1447348172|A014968200|H2014|2018-01|314|6665|1778179.70
29275,servicing_npi,1306912282|A423525800|S5140|2021-09|204|5940|1778142.14
29602,servicing_npi,1306912282|A423525800|S5140|2021-08|205|8928|1764007.62
29728,billing_npi;servicing_npi,A976414300|A976414300|T2028|2018-09|588|24335|1758444.85
29848,billing_npi;servicing_npi,A784457500|A784457500|T2028|2019-09|605|24899|1753078.36
30005,billing_npi;servicing_npi,A976414300|A976414300|T2028|2018-07|566|24115|1747018.81
30018,servicing_npi,1104991066|A423525800|S5140|2021-11|211|6714|1746338.99
30075,servicing_npi,1104991066|A423525800|S5140|2021-10|202|7823|1743961.85
30143,servicing_npi,1992216766|A423525800|S5140|2022-05|221|6749|1741225.16
30296,servicing_npi,1043385420|A423525800|S5140|2021-12|186|6826|1735559.22
30349,servicing_npi,1104991066|A423525800|S5140|2022-02|216|6427|1733648.49
30383,servicing_npi,1447348172|A014968200|H2014|2018-03|318|5978|1732701.27
30437,billing_npi;servicing_npi,A632633100|A632633100|T1019|2019-01|721|21033|1730536.76
30636,servicing_npi,1447348172|A014968200|H2014|2018-07|304|5372|1723039.32
30639,servicing_npi,1992216766|A423525800|S5140|2022-03|224|6852|1722938.11
30677,billing_npi;servicing_npi,A784457500|A784457500|T2028|2019-04|587|24468|1721274.99
30746,servicing_npi,1992216766|A423525800|S5140|2022-04|223|6389|1718881.01
30752,servicing_npi,1134200942|A668967200|S5140|2021-09|140|4138|1718706.45
30791,servicing_npi,1447348172|A014968200|H2014|2018-11|280|5233|1716710.30
31028,servicing_npi,1972678266|A423525800|S5140|2021-12|215|7532|1706774.29
31062,servicing_npi,1043385420|A423525800|S5140|2021-10|180|7737|1705291.44
31113,servicing_npi,1972678266|A423525800|S5140|2022-01|215|12657|1702655.33
31247,billing_npi;servicing_npi,A248023900|M784450100|T2016|2018-02|251|6920|1697404.77
31319,servicing_npi,1972678266|A423525800|S5140|2022-05|205|6255|1694292.92
31445,servicing_npi,1972678266|A423525800|S5140|2022-03|216|7321|1689484.10
31484,servicing_npi,1992216766|A423525800|S5140|2022-01|224|7268|1688118.56
31543,servicing_npi,1043385420|A423525800|S5140|2022-06|179|5748|1685621.14
31643,servicing_npi,1104991066|A423525800|S5140|2021-08|197|6342|1682631.64
31734,servicing_npi,1972678266|A423525800|S5140|2022-06|200|5857|1678731.55
31815,servicing_npi,1134200942|A668967200|T2016|2020-10|142|4251|1676017.86
31824,servicing_npi,1134200942|A668967200|T2016|2020-12|140|4234|1675591.18
