rank,npi,name,state,total_impact,confidence,num_methods,primary_method,actionable_notes
293,1447393319,"SPECIAL TOUCH HOME CARE SERVICES, INC.",NY,118124053.16,high,5,gev_extreme_value,High confidence; 3+ independent signals; Sudden growth or stop pattern
294,1427003862,AWARE INC,MT,118081896.93,high,3,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern
295,1346479169,"MYRIAD WOMEN'S HEALTH, INC.",CA,117859416.94,high,3,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern
296,1447488721,"BNV HOME CARE AGENCY, INC.",NY,117828434.60,high,4,gev_extreme_value,High confidence; 3+ independent signals; Sudden growth or stop pattern
297,1205083672,ICL ACT TEAM CENTRAL BROOKLYN,NY,117828263.45,high,4,gev_extreme_value,High confidence; 3+ independent signals; Sudden growth or stop pattern
298,1295842508,ALLIANCE FOR HEALTH,NY,117283328.64,high,5,shared_bene_count,High confidence; 3+ independent signals; Sudden growth or stop pattern
299,1881697381,LAKE COUNTY TRIBAL HEALTH CONSORTIUM INC.,CA,117038589.29,high,6,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern; Public entity; policy review likely
300,1023678240,WASHINGTON INSTITUTE FOR COAGULATION,WA,116745705.97,high,7,pharmacy_rate_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern
301,1548347156,OPTION 1 NUTRITION SOLUTIONS LLC,CO,116641039.70,medium,2,iqr_outlier,Statistical outlier vs peers
302,1770538068,CNS HEALTHCARE,MI,116445567.83,high,6,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern
303,1245212380,"GENERATIONS HEALTH ASSOCIATION, INC.",TN,116435176.02,high,3,iqr_outlier,High confidence; 3+ independent signals
304,1154549921,DEPARTMENT OF MENTAL HEALTH,MA,116285554.49,high,3,gev_extreme_value,High confidence; 3+ independent signals; Public entity; policy review likely
305,1982781571,CITY OF PHOENIX ARIZONA,AZ,116125506.72,medium,2,iqr_outlier,Public entity; policy review likely
306,1417010604,ABLELIGHT INC.,WI,116019235.12,medium,2,iqr_outlier,Statistical outlier vs peers
307,1184706566,HOPE HAVEN INC,IA,115707964.83,high,5,iqr_outlier,High confidence; 3+ independent signals
308,1265954630,"ALLSTAR HOMECARE FI, INC.",NY,115293140.58,high,6,gev_extreme_value,High confidence; 3+ independent signals; Sudden growth or stop pattern
309,1306001623,"VIVICARE HEALTH PARTNERS, LLC",TX,115234039.09,high,7,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern
310,1124127683,ARTHUR G JAMES CANCER HOSPITAL AND RESEARCH INSTITUTE,OH,114986843.57,high,9,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern
311,1891820668,"HOPEBRIDGE, LLC",IN,114506573.00,high,5,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern
312,1184729493,"WINSLOW INDIAN HEALTH CARE CENTER, INC",AZ,114396063.78,high,6,gev_extreme_value,High confidence; 3+ independent signals
