npi,name,state,confidence,total_impact,systemic_impact_raw,weighted_impact,score,weighted_score,num_methods,primary_method,methods,hypothesis_ids,state_quality_weight
A669467502,NPI A669467502,,high,0.0,0.0,0.0,0.0,0.0,6,gev_extreme_value,code_concentration_per_provider;volume_vs_median;abrupt_stop;claims_per_bene_vs_median;iqr_outlier;gev_extreme_value,H0195;H0199;H0186;H0544;H0098;H0099;H0309;H0329;H0198;H0553;H0192;H0547;H0193;H0541;H0549;H0194;H0552;H0197;H0200;H0551;H0189;H0543;H0095;H0555;H0546;H0542;H0545;H0188;H0190;H0550;H0187;H0191;H0548;H0196;H0554,1.0
A472013000,NPI A472013000,,medium,0.0,0.0,0.0,0.0,0.0,2,gev_extreme_value,abrupt_stop;gev_extreme_value,H0195;H0199;H0186;H0098;H0099;H0115;H0198;H0192;H0193;H0100;H0194;H0197;H0200;H0189;H0188;H0101;H0190;H0187;H0191;H0114;H0196,1.0
A488917700,NPI A488917700,,high,0.0,0.0,0.0,0.0,0.0,3,gev_extreme_value,abrupt_stop;iqr_outlier;gev_extreme_value,H0188;H0189;H0195;H0192;H0186;H0199;H0190;H0200;H0187;H0095;H0191;H0193;H0098;H0099;H0194;H0196;H0197;H0198,1.0
A747024001,NPI A747024001,,high,0.0,0.0,0.0,0.0,0.0,4,gev_extreme_value,abrupt_stop;iqr_outlier;code_concentration_per_provider;gev_extreme_value,H0195;H0199;H0186;H0544;H0098;H0099;H0198;H0553;H0192;H0547;H0193;H0541;H0549;H0194;H0552;H0197;H0200;H0551;H0189;H0543;H0095;H0555;H0546;H0542;H0545;H0188;H0190;H0550;H0187;H0191;H0548;H0196;H0554,1.0
A542640100,NPI A542640100,,high,0.0,0.0,0.0,0.0,0.0,4,gev_extreme_value,abrupt_stop;iqr_outlier;yoy_growth;gev_extreme_value,H0195;H0206;H0199;H0186;H0098;H0099;H0207;H0211;H0213;H0198;H0215;H0202;H0192;H0193;H0210;H0212;H0209;H0194;H0197;H0214;H0200;H0189;H0095;H0203;H0204;H0188;H0190;H0208;H0187;H0191;H0205;H0196;H0201,1.0
A514465200,NPI A514465200,,high,0.0,0.0,0.0,0.0,0.0,4,gev_extreme_value,claims_per_bene_vs_median;iqr_outlier;yoy_growth;gev_extreme_value,H0206;H0098;H0099;H0329;H0211;H0215;H0207;H0213;H0202;H0210;H0212;H0209;H0214;H0095;H0203;H0204;H0208;H0205;H0201,1.0
A744938000,NPI A744938000,,high,0.0,0.0,0.0,0.0,0.0,4,gev_extreme_value,abrupt_stop;iqr_outlier;yoy_growth;gev_extreme_value,H0195;H0206;H0199;H0186;H0098;H0099;H0207;H0211;H0213;H0198;H0215;H0202;H0192;H0193;H0210;H0212;H0209;H0194;H0197;H0214;H0200;H0189;H0095;H0203;H0204;H0188;H0190;H0208;H0187;H0191;H0205;H0196;H0201,1.0
M606270900,NPI M606270900,,medium,0.0,0.0,0.0,0.0,0.0,2,abrupt_stop,abrupt_stop;gev_extreme_value,H0195;H0199;H0186;H0098;H0099;H0115;H0198;H0192;H0193;H0100;H0194;H0197;H0200;H0189;H0188;H0101;H0190;H0187;H0191;H0114;H0196,1.0
A981940000,NPI A981940000,,high,0.0,0.0,0.0,0.0,0.0,6,gev_extreme_value,code_concentration_per_provider;abrupt_stop;claims_per_bene_vs_median;iqr_outlier;yoy_growth;gev_extreme_value,H0195;H0206;H0199;H0186;H0544;H0098;H0099;H0329;H0207;H0211;H0213;H0198;H0553;H0215;H0202;H0192;H0547;H0193;H0210;H0541;H0212;H0209;H0549;H0194;H0552;H0197;H0214;H0200;H0551;H0189;H0543;H0095;H0555;H0546;H0203;H0542;H0545;H0204;H0188;H0190;H0550;H0187;H0191;H0205;H0208;H0548;H0196;H0554;H0201,1.0
A544125100,NPI A544125100,,high,0.0,0.0,0.0,0.0,0.0,4,gev_extreme_value,abrupt_stop;code_concentration_per_provider;claims_per_bene_vs_median;gev_extreme_value,H0195;H0199;H0186;H0544;H0098;H0099;H0329;H0198;H0553;H0192;H0547;H0193;H0541;H0549;H0194;H0552;H0197;H0200;H0551;H0189;H0543;H0555;H0546;H0542;H0545;H0188;H0190;H0550;H0187;H0191;H0548;H0196;H0554,1.0
A585488000,NPI A585488000,,high,0.0,0.0,0.0,0.0,0.0,3,abrupt_stop,abrupt_stop;zscore_paid_per_bene;gev_extreme_value,H0195;H0076;H0199;H0186;H0071;H0088;H0072;H0082;H0087;H0068;H0098;H0063;H0073;H0085;H0099;H0115;H0198;H0067;H0080;H0081;H0192;H0193;H0083;H0066;H0194;H0197;H0200;H0069;H0189;H0062;H0065;H0074;H0084;H0089;H0079;H0078;H0077;H0188;H0061;H0086;H0070;H0190;H0187;H0191;H0064;H0114;H0196;H0090;H0075,1.0
A976414300,NPI A976414300,,high,0.0,0.0,0.0,0.0,0.0,3,gev_extreme_value,abrupt_stop;iqr_outlier;gev_extreme_value,H0188;H0189;H0195;H0192;H0186;H0199;H0190;H0200;H0187;H0095;H0191;H0193;H0098;H0099;H0194;H0196;H0197;H0198,1.0
A632633100,NPI A632633100,,high,0.0,0.0,0.0,0.0,0.0,3,gev_extreme_value,abrupt_stop;volume_vs_median;gev_extreme_value,H0195;H0199;H0186;H0098;H0099;H0301;H0115;H0198;H0192;H0193;H0194;H0197;H0200;H0189;H0188;H0190;H0187;H0191;H0114;H0196,1.0
M917673800,NPI M917673800,,high,0.0,0.0,0.0,0.0,0.0,5,gev_extreme_value,abrupt_stop;claims_per_bene_vs_median;iqr_outlier;yoy_growth;gev_extreme_value,H0195;H0206;H0199;H0186;H0098;H0099;H0329;H0207;H0211;H0213;H0198;H0215;H0202;H0192;H0193;H0210;H0212;H0209;H0194;H0197;H0214;H0200;H0189;H0095;H0203;H0204;H0188;H0190;H0208;H0187;H0191;H0205;H0196;H0201,1.0
