billing_npi,hcpcs_code,claim_month,state,specialty,paid,claims,paid_per_claim,median_ppc,peers,ppc_delta,excess_paid,z_ppc
1518096411,T2016,2023-11,MA,Case Management Agency,12706027.78,983,12925.765798575787,8205.857026476579,23,4719.908772099208,4639670.322973521,1.6918481631251043
1275849283,00003,2018-03,CA,Family Medicine,14543681.9,52721,275.8612678059976,188.22,76,87.64126780599761,4620535.28,0.42808359891516445
1184703415,T1019,2020-01,NY,Home Health Agency,14738196.01,70327,209.5666815021258,143.982039800995,539,65.58464170113078,4612371.096915424,0.1869075572176886
1699725143,A0100,2022-08,CO,Taxi,14467942.01,346044,41.80954447989273,28.486777710716908,126,13.322766769175821,4610263.503872678,0.025334284249648484
1184703415,T1019,2020-03,NY,Home Health Agency,14831171.06,71369,207.80970813658593,143.21356097560977,543,64.59614716097616,4610162.4267317075,0.1703300833156399
1245354000,T2016,2021-08,MA,Case Management Agency,13892134.89,1010,13754.589,9203.360212765958,23,4551.228787234042,4596741.075106382,1.599934959885142
1134260078,A0100,2022-03,MO,Secured Transport,5173069.35,194855,26.54830181416951,3.0,44,23.54830181416951,4588504.35,2.2593522774750427
1518096411,T2016,2020-07,MA,Case Management Agency,13734042.35,913,15042.762705366922,10055.256243386242,23,4987.50646198068,4553593.399788361,2.179461540509547
1750504064,T2016,2018-02,MA,Case Management Agency,12384403.27,1078,11488.314721706864,7279.215788336934,23,4209.09893336993,4537408.650172784,2.953625279253842
1518096411,T2016,2024-02,MA,Case Management Agency,12310657.92,889,13847.759190101237,8744.745023809524,23,5103.014166291712,4536579.593833332,1.9400736736323174
1275849283,00003,2019-04,CA,Family Medicine,14256233.62,50943,279.8467624600043,190.85999999999999,76,88.98676246000431,4533252.64,0.3607199717352773
1184703415,T1019,2020-07,NY,Home Health Agency,14407503.55,69993,205.84206349206352,141.66111406096263,540,64.18094943110088,4492217.193531044,0.15455803607440863
1134260078,A0100,2020-10,MO,Secured Transport,5176987.49,230276,22.481663264951624,3.0,53,19.481663264951624,4486159.49,4.799762326583119
1275849283,00003,2018-01,CA,Family Medicine,13006479.88,47305,274.94936856569075,180.2735185185185,68,94.67585004717225,4478641.086481483,0.4353217252438146
1275849283,00003,2019-03,CA,Family Medicine,13823117.46,49185,281.0433559011894,190.85999999999999,76,90.1833559011894,4435668.36,0.32975594986364637
1275849283,00003,2019-05,CA,Family Medicine,13980023.08,50031,279.4272167256301,190.86,77,88.56721672563009,4431106.419999999,0.15658734725824502
1184703415,T1019,2020-10,NY,Home Health Agency,14165906.99,69212,204.67414595734843,140.70421153366064,543,63.96993442368779,4427487.101332279,1.4585460884403416
1750504064,T2016,2019-02,MA,Case Management Agency,12720293.71,1115,11408.335165919283,7441.66909090909,23,3966.666075010193,4422832.673636365,2.9190648319314856
1750504064,T2016,2020-04,MA,Case Management Agency,15570070.6,982,15855.469042769857,11352.198260869565,23,4503.270781900292,4422211.9078260865,2.5489849235378537
1518096411,T2016,2021-06,MA,Case Management Agency,14063209.47,1083,12985.419639889198,8928.966217765043,23,4056.4534221241556,4393139.05616046,1.7696979271298183
1184703415,T1019,2019-12,NY,Home Health Agency,14593139.19,70510,206.96552531555807,145.03628779979144,543,61.92923751576663,4366630.537236705,0.3106362907054018
1134260078,A0100,2020-12,MO,Secured Transport,5040442.57,228599,22.049276549766187,3.0106703094704503,54,19.038606240295735,4352206.347925365,3.9410896174414667
1699725143,A0100,2022-11,CO,Taxi,14631290.94,336091,43.533718367942015,30.597734597354762,122,12.935983770587253,4347667.72144044,-0.031272858711553164
1518096411,T2016,2021-02,MA,Case Management Agency,13042112.22,920,14176.20893478261,9515.212593582886,23,4660.996341199723,4288116.633903746,2.3571775085399036
1518096411,T2016,2020-01,MA,Case Management Agency,13352994.47,1117,11954.337036705461,8126.2595612009245,23,3828.077475504537,4275962.540138568,1.9885062234443946
1518098359,T1019,2021-07,MA,Case Management Agency,26184185.26,249438,104.97271971391689,87.83582089552239,69,17.1368988183945,4274593.767462688,-0.21932190689154377
1184703415,T1019,2021-01,NY,Home Health Agency,13802496.73,67091,205.72799227914325,142.11803376864998,548,63.60995851049327,4267655.726427504,1.3552717218970083
