specialty,claim_month,total_paid,total_claims,total_beneficiaries,num_providers
Birthing Center,2024-03,50324.31,508,318,11
Anesthesiologist Assistant,2020-03,50317.03999999999,471,370,5
Respiratory/Developmental/Rehab,2023-03,50145.76,657,136,2
Art Therapist,2020-03,50103.14,614,183,5
Electrophysiology PT,2022-04,50100.259999999995,1725,624,5
Doula,2019-08,50025.02,139,47,1
Birthing Center,2023-10,50006.36,1142,585,15
Diet Technician,2021-02,49994.390000000014,1463,1082,3
Birthing Center,2024-05,49955.87,595,382,11
Bariatric Medicine,2020-08,49939.19,586,533,5
Pharmacy Technician,2021-10,49926.9,371,210,5
Psychoanalyst,2018-04,49890.38,823,403,6
Military Health,2018-11,49850.44000000001,600,560,3
Community Health NP,2020-01,49675.049999999996,1680,1511,6
Electrophysiology PT,2022-10,49616.939999999995,1376,569,6
School NP,2023-05,49544.209999999985,1060,880,4
Respiratory/Developmental/Rehab,2024-09,49514.44,563,117,1
Clinical & Lab Immunology,2018-10,49512.399999999994,735,303,4
Psychoanalyst,2020-04,49504.88,802,366,8
Geriatric PT,2020-05,49424.920000000006,1505,483,6
Sports PT,2020-07,49408.52,1924,634,11
Pharmacy Technician,2021-12,49313.829999999994,300,177,5
Military Health,2018-12,49280.70000000001,468,414,2
Community Health NP,2019-09,49255.740000000005,1017,819,6
Hand Surgery,2022-06,49250.71000000001,1777,1157,11
Respiratory/Developmental/Rehab,2023-11,49243.08,645,125,2
Recreation Therapist,2022-07,49237.57,625,155,6
School NP,2023-03,49214.639999999985,1069,846,5
Hand Surgery,2019-03,49168.56,2602,1509,15
Neurology PT,2024-02,49162.479999999996,3103,998,7
Hand Surgery,2023-09,49162.24,1473,919,8
Psychoanalyst,2018-11,49083.15,790,326,6
Military Health,2022-12,49074.850000000006,957,766,3
Recreation Therapist,2019-01,49067.90000000001,368,124,4
Military Hospital,2023-02,49059.71,482,417,2
Hearing Instrument Specialist,2024-12,49045.990000000005,1302,1244,9
Hand PT,2019-10,49030.25,3168,1223,7
Electrophysiology PT,2022-08,49001.99,1361,614,5
Military Hospital,2021-09,48956.52,852,789,2
Hand Surgery,2024-11,48889.62,923,596,8
Military Hospital,2024-07,48888.62,1135,1008,2
Pharmacy Technician,2022-11,48886.590000000004,316,193,5
Military Health,2018-03,48885.590000000004,492,440,1
Community Health NP,2021-10,48881.310000000005,1238,1090,6
Military Hospital,2024-03,48852.520000000004,1155,1084,2
Respiratory/Developmental/Rehab,2022-07,48852.03,1635,278,2
Community Health NP,2019-06,48756.77,311,234,4
Community Health NP,2022-03,48749.869999999995,1711,1443,8
Birthing Center,2020-07,48737.46000000001,715,519,17
Migrant Health Center,2024-10,48734.28,6307,6143,6
Diet Technician,2020-05,48725.34999999999,1161,852,2
Diagnostic Technologist,2021-08,48640.98,782,493,9
Military Health,2019-12,48634.09000000001,641,465,3
Doula,2018-01,48549.54,175,55,1
Community Health NP,2023-06,48453.68,1158,885,9
DOD Pharmacy,2020-05,48422.42,1116,956,1
Hand PT,2019-11,48396.899999999994,2958,1150,7
Military Health,2020-03,48358.62,425,331,3
Military Hospital,2021-04,48331.0,505,419,2
Birthing Center,2018-01,48315.060000000005,233,170,9
Military Hospital,2024-01,48309.69,1014,926,2
Doula,2023-01,48267.19,161,96,4
Recreation Therapist,2019-05,48201.259999999995,469,178,5
Other Technician,2024-01,48140.34999999999,1001,846,7
Hand Surgery,2023-12,48127.92,1419,981,8
Military Hospital,2023-03,48105.64,639,566,2
Recreation Therapist,2019-09,48088.76,417,141,6
Sports PT,2018-12,48067.96000000001,2154,789,14
Doula,2019-12,48026.5,68,25,1
Doula,2020-07,47981.88,148,45,3
Colon & Rectal Surgery,2024-12,47949.229999999996,1975,1937,11
Military Hospital,2021-03,47891.05,676,591,2
Anesthesiologist Assistant,2020-09,47857.97,593,454,5
Community Health NP,2023-01,47807.159999999996,1332,1062,7
Hand Surgery,2018-12,47805.240000000005,2428,1462,13
Assistive Technology Practitioner,2024-07,47804.990000000005,204,134,2
Recreation Therapist,2022-10,47788.71000000001,657,163,5
Recreation Therapist,2020-12,47769.979999999996,354,122,6
Psychoanalyst,2021-01,47768.95,956,478,10
Electrophysiology PT,2022-05,47753.29,1841,595,4
Chronic Disease Hospital,2024-10,47723.08,1708,1292,5
Neurorehab OT,2018-11,47685.229999999996,786,252,2
Other Technician,2018-08,47670.83,1066,1028,8
DOD Pharmacy,2019-06,47632.41,1063,1017,1
Recreation Therapist,2020-09,47614.22,423,137,6
Doula,2021-12,47610.0,84,46,2
Doula,2019-06,47589.6,113,44,1
Recreation Therapist,2022-05,47546.49,639,166,5
Migrant Health Center,2024-03,47525.74,23298,11570,5
Military Health,2022-01,47510.28,554,451,3
Psychoanalyst,2021-02,47476.009999999995,876,424,9
Addiction Nurse,2019-10,47448.810000000005,746,343,9
Neurology PT,2022-10,47436.58,1074,445,6
Military Health,2022-03,47429.619999999995,584,468,4
Hand Surgery,2020-08,47427.32,1535,1039,12
Doula,2020-05,47376.0,129,23,1
Military Hospital,2023-05,47347.39,546,492,2
Sports Medicine,2018-07,47300.73,3271,2426,15
Psychoanalyst,2020-05,47277.41,876,432,8
Community Health NP,2022-11,47263.03,1727,1429,9
Clinical & Lab Immunology,2024-09,47247.35,1124,510,4
Military Health,2020-05,47139.45999999999,409,280,2
Critical Care Pediatric NP,2019-12,47130.89,751,700,6
Hand Surgery,2023-02,47106.14000000001,1314,895,10
School NP,2023-02,47086.439999999995,1604,1053,6
Hand Surgery,2019-08,47076.68,2738,1566,16
Assistive Technology Practitioner,2024-04,47066.41,173,101,2
Recreation Therapist,2021-01,47063.03,540,123,6
Neurology PT,2020-12,46996.26,812,293,6
Clinical & Lab Immunology,2019-01,46975.85999999999,646,311,5
Geriatric PT,2018-02,46966.02,1655,582,6
Migrant Health Center,2024-09,46959.770000000004,6949,6455,4
Recreation Therapist,2021-04,46939.09,484,176,6
Other Technician,2022-09,46922.55,680,512,8
Birthing Center,2022-04,46852.11,1115,737,14
Technician/Technologist,2018-09,46838.97000000001,3841,3419,11
Respiratory/Developmental/Rehab,2021-12,46823.94,1117,226,2
Doula,2022-05,46818.04,137,96,4
Recreation Therapist,2021-02,46791.21,583,140,7
Hand Surgery,2021-07,46784.4,1605,1058,13
Clinical & Lab Immunology,2018-08,46782.090000000004,669,226,3
Assistive Technology Supplier,2020-03,46780.53,851,358,2
Hand Surgery,2022-01,46780.1,1539,872,11
Psychoanalyst,2020-11,46764.8,989,513,9
Hand Surgery,2024-03,46696.44,1406,874,8
Cardiopulmonary PT,2021-01,46598.61000000001,793,168,3
Electrophysiology PT,2022-09,46483.450000000004,1457,545,5
Military Hospital,2022-03,46480.47,609,557,2
Hand Surgery,2022-12,46470.880000000005,1698,1070,11
Hand PT,2021-02,46439.530000000006,2042,1000,4
Doula,2019-01,46428.97,162,54,1
Military Hospital,2022-06,46398.560000000005,722,667,2
Respiratory/Developmental/Rehab,2023-12,46391.520000000004,611,186,3
Diet Technician,2019-01,46376.170000000006,637,422,2
Other Technician,2022-03,46362.229999999996,1260,1182,7
Doula,2019-02,46361.04,169,58,2
Military Health,2019-01,46351.090000000004,406,382,2
Anesthesiologist Assistant,2021-11,46344.55,737,599,7
Electrophysiology PT,2021-03,46299.09,1935,635,4
Hand Surgery,2020-12,46284.909999999996,1627,1048,11
Migrant Health Center,2024-02,46266.409999999996,23160,11434,5
Birthing Center,2022-12,46265.95,946,650,14
Critical Care Pediatric NP,2020-02,46226.54000000001,846,797,6
Military Hospital,2022-04,46212.619999999995,708,650,2
Pharmacy Technician,2024-02,46176.96,256,152,5
Pharmacy Technician,2021-09,46162.96,322,201,7
Legal Medicine,2023-06,46110.11,1011,706,2
Doula,2019-09,46076.2,111,44,1
Neurorehab OT,2020-06,46062.67,604,150,3
Bariatric Medicine,2022-03,46049.869999999995,461,407,5
Military Health,2019-03,46028.95,448,413,3
Hepatology,2018-02,45982.479999999996,2550,2021,25
Hand Surgery,2019-10,45980.34,2551,1623,17
Community Health NP,2023-08,45978.95,1392,984,10
Pharmacy Technician,2023-05,45896.76,322,192,6
Neurology PT,2024-03,45885.99,2880,1175,7
Neurorehab OT,2018-08,45832.549999999996,610,225,2
Pharmacy Technician,2023-03,45828.13,102,82,4
Bariatric Medicine,2021-03,45827.44,635,576,5
Sports PT,2018-10,45795.020000000004,2651,903,11
DOD Pharmacy,2019-05,45759.47000000001,1098,1049,1
Diet Technician,2020-02,45745.380000000005,1403,1066,2
Clinical & Lab Immunology,2018-11,45689.95,634,328,4
Recreation Therapist,2018-04,45648.57000000001,378,155,5
Hand Surgery,2019-02,45643.939999999995,2443,1541,14
Military Hospital,2022-07,45637.770000000004,841,787,2
Birthing Center,2020-10,45582.119999999995,781,566,19
Other Technician,2022-01,45524.55,1024,957,8
Community Health NP,2021-09,45435.21,1167,804,4
Neurorehab OT,2020-07,45390.24,715,207,4
Community Health NP,2021-03,45353.43,1394,1269,5
Hand Surgery,2021-10,45325.80999999999,1722,1156,13
DOD Pharmacy,2019-04,45283.49,1030,978,1
Assistive Technology Supplier,2024-12,45233.33,518,132,2
Doula,2022-02,45218.5,125,58,3
Addiction Nurse,2019-03,45216.64,1045,371,12
Doula,2018-03,45205.6,188,58,1
Doula,2020-09,45202.28,97,34,2
Hand PT,2020-09,45198.49,2164,996,3
Respiratory/Developmental/Rehab,2022-12,45140.0,507,120,1
Pharmacy Technician,2023-09,45124.14,316,177,5
Psychoanalyst,2020-06,45065.27,883,445,9
Hand Surgery,2020-07,45057.09,1484,959,13
Pharmacy Technician,2022-01,45044.689999999995,303,168,5
DOD Pharmacy,2020-12,45039.4,967,905,1
School NP,2019-10,45009.85999999999,2121,1719,8
Doula,2019-11,44985.5,94,25,1
Ambulatory Care Nurse,2020-03,44978.63999999999,1104,878,2
Clinical & Lab Immunology,2018-06,44966.53,649,226,3
Critical Care Pediatric NP,2019-10,44893.35,845,802,7
Birthing Center,2023-05,44876.31,1108,675,14
Hand Surgery,2022-07,44846.259999999995,1540,1031,10
Neurology PT,2024-10,44844.42,1651,677,6
Military Hospital,2021-05,44836.11,507,451,2
DOD Pharmacy,2019-01,44818.02000000001,1022,982,1
Recreation Therapist,2022-04,44816.04,632,168,5
Psychoanalyst,2020-12,44813.73,850,372,9
Military Health,2018-07,44803.74,449,367,2
Recreation Therapist,2018-10,44801.45,422,137,5
Psychoanalyst,2018-09,44756.94,739,475,7
Doula,2020-10,44735.59,91,32,2
Military Hospital,2024-05,44735.31,936,832,2
Recreation Therapist,2019-08,44734.44,432,150,6
Clinical & Lab Immunology,2018-07,44709.659999999996,675,249,3
Community Health NP,2023-07,44669.76,1036,800,7
Neurology PT,2024-08,44630.63,2368,850,6
Independent Medical Examiner,2024-07,44630.229999999996,388,288,3
Neurology PT,2020-10,44609.06,1129,426,6
Community Health NP,2021-05,44606.11,1054,936,4
Recreation Therapist,2018-06,44513.96,392,146,5
Doula,2020-02,44501.0,123,36,2
Military Hospital,2022-09,44441.39,898,844,2
Recreation Therapist,2021-07,44437.32000000001,567,168,6
School NP,2021-10,44415.05,3514,2165,7
Doula,2018-12,44262.42,199,40,1
Clinical & Lab Immunology,2018-09,44236.28,623,192,3
Sports PT,2019-12,44156.630000000005,2413,872,11
Recreation Therapist,2018-11,44153.53999999999,398,162,5
Recreation Therapist,2021-06,44098.3,494,166,6
Military Hospital,2022-02,44067.29,521,473,2
Military Health,2020-04,44060.26,346,212,1
Ambulatory Care Nurse,2019-05,44056.18000000001,767,716,2
Birthing Center,2023-06,44050.189999999995,964,555,14
Electrophysiology PT,2022-06,44041.07,1425,531,4
Doula,2021-03,44040.67,108,53,3
Military Hospital,2024-09,44031.42999999999,1105,1030,2
Recreation Therapist,2019-03,44024.42,377,154,5
Military Health,2018-09,44023.149999999994,459,382,2
Doula,2018-11,44006.05,178,41,1
Migrant Health Center,2024-07,44003.57000000001,25988,20819,6
Cardiopulmonary PT,2021-02,43948.920000000006,827,200,3
Doula,2020-08,43928.0,98,22,1
Military Health,2018-05,43915.659999999996,462,410,1
Diet Technician,2019-07,43912.950000000004,698,506,2
Art Therapist,2019-12,43904.98,608,190,5
School NP,2021-09,43893.37,1599,1238,7
Military Hospital,2024-04,43875.100000000006,1018,919,2
Recreation Therapist,2023-03,43861.62,464,153,5
Doula,2018-08,43828.9,130,45,1
Pharmacy Technician,2021-03,43810.509999999995,69,62,3
Military Hospital,2024-08,43809.7,1252,1166,2
Dance Therapist,2024-10,43799.520000000004,412,218,3
Recreation Therapist,2023-06,43791.86,425,175,5
Diet Technician,2018-04,43784.15,591,435,2
Community Health NP,2020-10,43746.08,1641,1489,4
Hand PT,2021-01,43727.28,1614,783,2
Sports PT,2018-07,43659.28,2134,751,11
Doula,2018-04,43653.24,123,46,1
Pharmacy Technician,2022-08,43623.08,294,157,6
Hand Surgery,2020-09,43595.51,1423,913,13
Legal Medicine,2023-08,43567.780000000006,927,692,3
Military Hospital,2021-12,43510.729999999996,670,635,2
Military Hospital,2023-09,43496.9,986,931,2
Legal Medicine,2023-05,43491.729999999996,926,654,1
DOD Pharmacy,2018-07,43399.890000000014,948,859,1
Recreation Therapist,2018-02,43378.259999999995,334,139,5
Hand Surgery,2021-02,43343.98000000001,1368,971,8
Hand Surgery,2020-01,43342.81,1922,1358,14
Psychoanalyst,2018-08,43340.31,661,385,6
Legal Medicine,2022-02,43074.829999999994,478,371,2
Sports PT,2019-02,43020.77000000001,2079,727,15
Recreation Therapist,2023-05,42983.05,438,162,5
Migrant Health Center,2024-06,42953.759999999995,23432,18510,5
Recreation Therapist,2019-12,42873.56999999999,347,140,6
Diet Technician,2020-11,42834.71,1298,1031,3
Sports PT,2018-02,42820.479999999996,1721,669,9
Clinical & Lab Immunology,2019-03,42805.11,537,216,4
Psychoanalyst,2020-09,42782.95,772,326,6
School NP,2021-01,42768.81,2139,1491,2
Community Health NP,2022-01,42764.369999999995,1089,896,5
Recreation Therapist,2018-07,42749.25,370,132,5
Independent Medical Examiner,2024-01,42733.08,615,347,3
Recreation Therapist,2020-01,42688.04,398,169,6
Hand Surgery,2018-11,42659.94000000001,2047,1247,12
Community Health NP,2021-11,42659.25,1446,1247,8
School NP,2021-03,42624.170000000006,2073,1415,5
Recreation Therapist,2021-05,42571.49,435,169,6
Hand Surgery,2020-10,42570.08,1461,939,12
DOD Pharmacy,2018-05,42546.66999999999,928,848,1
Geriatric PT,2020-04,42501.3,1417,400,5
DOD Pharmacy,2020-10,42409.51,928,893,1
Doula,2021-11,42382.75,109,67,3
Legal Medicine,2023-03,42355.57000000001,788,573,2
Clinical & Lab Immunology,2024-01,42334.689999999995,2090,1045,4
Military Hospital,2022-08,42302.649999999994,895,850,2
Migrant Health Center,2022-02,42278.72,6798,6214,3
Electrophysiology PT,2018-10,42251.72,1185,470,3
DOD Pharmacy,2020-08,42250.659999999996,1006,915,1
Hand Surgery,2018-03,42247.59,2922,1522,14
DOD Pharmacy,2021-01,42172.05000000002,865,832,1
Neurology PT,2024-07,42146.24,2558,901,6
Doula,2022-04,42142.63,112,72,3
Diet Technician,2020-04,42138.920000000006,1203,872,2
Pharmacy Technician,2024-06,42052.48999999999,263,195,5
Doula,2021-06,42051.0,123,56,3
Assistive Technology Practitioner,2024-03,42032.88,144,84,2
Military Hospital,2023-06,41950.92,686,610,2
Hand Surgery,2021-11,41910.48,1668,1020,13
Bariatric Medicine,2020-05,41902.58,337,312,5
Doula,2021-10,41714.5,68,45,2
Recreation Therapist,2023-04,41670.1,467,163,5
Electrophysiology PT,2023-02,41656.880000000005,1510,503,3
Legal Medicine,2023-01,41643.33000000001,687,568,2
Pharmacy Technician,2022-02,41579.399999999994,253,163,5
Pharmacy Technician,2024-03,41557.72,413,246,5
Neurology PT,2024-09,41551.06,2015,874,6
Military Health,2019-02,41535.049999999996,368,349,2
School NP,2021-06,41506.32000000001,1398,1175,3
Military Health,2022-02,41470.840000000004,504,417,3
Hematology,2024-12,41453.3,1435,1273,9
School NP,2021-11,41427.5,2408,2040,6
Electrophysiology PT,2021-11,41393.97,1177,438,4
Diet Technician,2018-03,41346.49999999999,564,379,2
Recreation Therapist,2019-11,41249.399999999994,413,175,6
Military Hospital,2021-07,41218.98,562,495,2
Electrophysiology PT,2018-08,41205.53,1291,439,3
Diet Technician,2018-02,41161.42,583,398,2
Sports PT,2018-09,41070.939999999995,2013,756,12
Neurology PT,2023-12,41061.83,1874,755,8
Neurorehab OT,2018-10,41056.05,782,246,2
Assistive Technology Practitioner,2024-10,40984.54,178,102,2
Clinical & Lab Immunology,2019-02,40921.54,469,210,4
Military Health,2018-02,40918.130000000005,391,349,1
Anesthesiologist Assistant,2018-11,40786.45999999999,3149,2697,8
Military Health,2019-05,40785.6,298,290,1
Doula,2018-05,40781.69,130,46,1
Cardiovascular Technologist,2023-08,40770.0,690,639,6
Military Health,2019-06,40766.95999999999,329,315,2
Recreation Therapist,2019-02,40753.55,340,161,5
Doula,2022-06,40746.88,145,86,4
Migrant Health Center,2024-05,40683.67,22835,16910,5
Other Technician,2024-03,40672.71,959,808,8
Birthing Center,2024-06,40637.07000000001,499,333,12
School NP,2023-06,40606.97,785,694,1
Legal Medicine,2023-07,40535.17,837,620,2
Recreation Therapist,2022-03,40523.259999999995,507,161,4
Military Hospital,2024-10,40497.56,1096,1010,2
Doula,2018-10,40486.0,103,27,1
Diet Technician,2019-06,40420.409999999996,574,443,2
Doula,2020-12,40320.0,98,36,1
Psychoanalyst,2018-10,40317.24,728,456,6
Respiratory/Developmental/Rehab,2023-02,40280.0,526,127,2
Doula,2021-08,40222.0,98,46,2
Hand PT,2020-03,40218.48000000001,2084,954,3
DOD Pharmacy,2020-03,40218.21000000001,883,821,1
Clinical & Lab Immunology,2018-01,40212.32,617,296,4
Homeopath,2019-12,40207.88,610,65,2
Military Hospital,2021-08,40202.68,754,707,2
Neurology PT,2021-10,40144.619999999995,680,204,7
Art Therapist,2019-09,40140.649999999994,694,244,5
Doula,2021-02,40081.98,119,50,2
Recreation Therapist,2020-02,40042.310000000005,395,167,6
Ambulatory Care Nurse,2020-11,40031.899999999994,578,540,1
Military Clinical Lab,2023-03,39951.99,4180,1042,2
Doula,2018-09,39941.31,153,48,1
Military Health,2022-11,39913.76,1374,1199,4
Neurology PT,2021-09,39897.439999999995,658,227,9
Neurology PT,2020-09,39862.799999999996,1365,446,5
Military Hospital,2022-01,39852.850000000006,638,601,2
Other Technician,2024-02,39823.97,1339,1175,9
School NP,2021-02,39815.78999999999,1838,1263,2
Military Health,2022-09,39789.939999999995,537,424,3
Birthing Center,2019-01,39789.07,491,252,11
Doula,2018-07,39754.19,104,42,1
Neurology PT,2024-05,39647.54,2869,1103,7
Migrant Health Center,2024-04,39571.2,20364,15481,5
Military Hospital,2024-02,39536.520000000004,637,576,2
Respiratory/Developmental/Rehab,2023-01,39526.32,512,121,2
School NP,2022-03,39486.62000000002,1485,1157,6
Addiction Nurse,2018-11,39437.92,1065,322,11
Doula,2018-06,39436.82,140,46,1
Sports PT,2020-08,39431.78,1463,509,10
DOD Pharmacy,2020-04,39420.74,886,838,1
Hand Surgery,2020-11,39416.770000000004,1369,949,13
DOD Pharmacy,2020-07,39379.00000000001,913,793,1
Birthing Center,2023-04,39341.600000000006,1068,682,16
Military Hospital,2022-12,39276.01,771,734,2
Neurorehab OT,2018-04,39275.78,703,201,2
DOD Pharmacy,2018-11,39246.58000000001,883,847,1
Doula,2021-07,39160.920000000006,168,87,4
Anesthesiologist Assistant,2020-11,39147.96,414,361,5
Clinical & Lab Immunology,2019-04,39077.9,507,250,4
Clinical & Lab Immunology,2018-02,39006.12,571,225,4
Electrophysiology PT,2018-11,38999.31,1220,441,4
Community Health NP,2019-12,38990.08000000001,1404,1222,7
Assistive Technology Supplier,2020-07,38981.16,644,268,2
Neurology PT,2024-06,38963.28,2285,1016,6
Legal Medicine,2021-12,38908.12,768,580,3
Critical Care Pediatric NP,2018-03,38891.149999999994,784,753,6
Doula,2020-11,38889.0,73,20,1
Hand Surgery,2021-09,38867.49,1344,808,11
Military Hospital,2022-05,38866.71,595,541,2
Diet Technician,2018-06,38864.009999999995,571,398,2
DOD Pharmacy,2019-11,38818.719999999994,897,854,1
Hand Surgery,2021-12,38809.18,1345,824,12
Assistive Technology Practitioner,2023-02,38791.649999999994,311,121,3
Diet Technician,2020-12,38757.33000000001,1095,874,3
DOD Pharmacy,2020-02,38755.77,932,865,1
Clinical & Lab Immunology,2023-10,38755.67,820,556,4
Doula,2018-02,38728.18,155,56,1
DOD Pharmacy,2019-03,38713.78,952,900,1
Electrophysiology PT,2022-11,38628.75,1272,492,5
DOD Pharmacy,2019-02,38595.05,895,845,1
Electrophysiology PT,2021-04,38558.20999999999,1480,443,3
Community Health NP,2022-10,38485.32,1346,1050,7
Military Health,2022-08,38481.1,539,428,3
Diagnostic Technologist,2021-09,38471.44,670,419,9
Hand PT,2019-12,38467.18,1995,878,2
Pharmacy Technician,2021-04,38464.38,187,137,4
Military Hospital,2024-06,38462.83,918,831,2
Community Health NP,2021-12,38424.13999999999,1376,1123,5
Critical Care Pediatric NP,2018-01,38411.409999999996,1008,923,8
Recreation Therapist,2019-04,38409.47,372,148,5
Electrophysiology PT,2023-01,38386.63,1275,426,3
Community Health NP,2022-04,38347.32,1180,1023,9
Community Health NP,2023-09,38315.200000000004,1402,930,8
Neurology PT,2020-05,38121.69,1280,451,4
Military Clinical Lab,2023-02,38116.05,4050,1196,2
Electrophysiology PT,2024-10,38076.1,1145,467,4
Doula,2021-04,38071.21,89,44,2
Recreation Therapist,2023-01,38070.380000000005,390,165,5
DOD Pharmacy,2018-12,37953.189999999995,959,900,1
Military Health,2019-04,37932.590000000004,261,251,2
Critical Care Pediatric NP,2018-10,37894.63,887,845,5
Addiction Nurse,2019-02,37771.25,1012,360,12
Migrant Health Center,2024-08,37760.729999999996,13491,11363,6
Hand Surgery,2019-09,37747.829999999994,2221,1429,16
School NP,2022-04,37744.45,1115,861,2
Hand PT,2020-08,37700.08000000001,2018,893,3
Hand Surgery,2018-04,37636.71,2596,1460,14
Hand PT,2020-10,37516.299999999996,1651,862,4
Neurorehab OT,2018-12,37491.49,538,225,2
Military Hospital,2023-08,37462.08,662,620,2
Other Technician,2021-03,37409.13,1051,994,7
Hand PT,2019-05,37365.709999999985,3516,1282,5
Recreation Therapist,2020-11,37358.33,280,113,6
Pharmacy Technician,2022-09,37307.23,119,89,4
Military Hospital,2024-11,37293.89,710,660,2
Diagnostic Technologist,2021-07,37226.71,716,507,7
DOD Pharmacy,2019-12,37124.94,867,805,1
Neurorehab OT,2020-05,37093.65,510,123,4
Critical Care Pediatric NP,2019-09,37037.92,674,633,6
Community Health NP,2019-11,37013.16,809,679,8
Assistive Technology Supplier,2019-04,37005.73,505,155,2
DOD Pharmacy,2020-06,36989.27,847,794,1
Pharmacy Technician,2022-10,36947.01,237,155,5
Pharmacy Technician,2019-07,36899.93000000001,273,244,4
School NP,2023-09,36872.14,700,581,6
Hand Surgery,2019-12,36843.36,2031,1400,12
Legal Medicine,2023-04,36835.27999999999,764,532,2
School NP,2019-08,36777.57,1776,1166,3
Migrant Health Center,2020-12,36732.8,639,413,3
Anesthesiologist Assistant,2021-02,36660.63999999999,330,268,6
Recreation Therapist,2019-06,36655.770000000004,373,167,6
Bariatric Medicine,2023-01,36646.86,424,377,6
Critical Care Pediatric NP,2019-08,36624.79,602,573,7
Critical Care Pediatric NP,2019-11,36497.4,626,600,5
Legal Medicine,2022-11,36485.420000000006,595,492,2
Naturopath,2024-12,36451.64,572,443,13
School NP,2023-07,36415.40999999999,651,547,1
Recreation Therapist,2018-09,36409.76,367,151,5
Military Hospital,2020-11,36392.14,676,617,2
Community Health NP,2021-08,36345.88,511,418,3
Hand Surgery,2018-01,36307.009999999995,1722,967,10
Ambulatory Care Nurse,2019-09,36295.39,690,651,3
Recreation Therapist,2018-12,36293.78,337,150,5
Neurology PT,2021-07,36279.21,863,272,9
Diet Technician,2018-07,36276.5,508,376,2
Diet Technician,2019-02,36243.68,520,359,2
Legal Medicine,2021-09,36224.74,740,573,3
Military Hospital,2020-10,36194.17,635,593,2
Recreation Therapist,2022-11,36173.54,412,151,4
Neurorehab OT,2018-05,35997.62,521,178,2
Psychoanalyst,2018-06,35898.95,643,443,6
Hand PT,2020-12,35888.509999999995,1618,750,3
Ambulatory Care Nurse,2019-01,35881.60999999999,778,588,3
Blood Bank,2018-05,35803.7,853,193,2
Critical Care Pediatric NP,2018-08,35777.409999999996,684,651,5
DOD Pharmacy,2024-01,35769.46000000001,684,605,1
Neurorehab OT,2018-03,35766.85,637,196,2
Diagnostic Technologist,2021-03,35756.29,660,468,8
Hand Surgery,2019-06,35702.18,1934,1260,13
Migrant Health Center,2024-11,35669.34,4443,4390,3
Legal Medicine,2021-08,35627.09,687,520,2
Electrophysiology PT,2019-08,35603.18,1142,439,2
Neurorehab OT,2018-09,35536.31,591,210,2
Recreation Therapist,2020-03,35496.380000000005,439,142,6
Other Technician,2021-11,35458.9,675,564,7
Birthing Center,2020-05,35454.24,569,350,12
Community Health NP,2022-12,35445.96,1193,948,6
Neurorehab OT,2018-07,35436.64,580,209,2
Diagnostic Technologist,2021-06,35436.590000000004,771,508,10
Community Health NP,2021-06,35395.65,557,447,5
Neurorehab OT,2018-06,35389.49,770,273,2
Critical Care Pediatric NP,2018-07,35194.76,667,649,7
Dance Therapist,2024-06,35190.93,378,213,3
Critical Care NP,2018-12,35182.92,512,114,3
Legal Medicine,2023-10,35167.98000000001,805,560,2
Assistive Technology Practitioner,2023-03,35155.75,278,124,3
Legal Medicine,2022-12,35100.0,577,476,2
Electrophysiology PT,2021-05,35099.98,1175,424,3
Neurorehab OT,2018-01,35068.899999999994,465,170,1
Doula,2021-05,35019.0,63,17,1
Pharmacy Technician,2019-06,34983.78,55,52,3
Electrophysiology PT,2021-07,34950.25000000001,1164,480,3
Assistive Technology Practitioner,2024-11,34949.729999999996,124,76,2
Doula,2023-04,34828.57,188,146,5
Hand Surgery,2020-06,34804.87,1476,997,10
Ambulatory Care Nurse,2018-11,34655.18,667,506,3
Recreation Therapist,2021-08,34653.42,413,154,6
Neurorehab OT,2024-10,34604.86,409,109,2
Hand PT,2018-03,34561.020000000004,3037,1120,4
Hand Surgery,2020-02,34534.87,1395,929,12
School NP,2021-05,34500.95,1186,953,3
Diet Technician,2018-09,34484.270000000004,426,309,2
Other Technician,2021-05,34426.43,951,867,7
Art Therapist,2019-08,34406.93,651,175,5
Independent Medical Examiner,2024-08,34387.17,338,269,3
Ambulatory Care Nurse,2018-12,34352.61,769,601,2
Other Technician,2024-06,34331.33,846,740,8
Dance Therapist,2024-07,34321.83,353,178,3
Legal Medicine,2021-06,34312.4,665,503,3
DOD Pharmacy,2018-08,34308.73,875,803,1
Community Health NP,2022-05,34248.06,1101,936,7
Bariatric Medicine,2021-08,34247.09,406,361,4
Other Technician,2018-07,34221.51,757,731,7
Military Clinical Lab,2023-01,34203.05,3576,1112,2
Electrophysiology PT,2018-12,34202.380000000005,1140,391,3
Other Technician,2024-07,34174.33,922,839,7
Legal Medicine,2018-03,34073.65,424,320,4
Military Clinical Lab,2022-12,34040.99,3020,1096,2
Bariatric Medicine,2021-02,34040.51,385,341,5
Hand PT,2020-07,33941.10999999999,1250,725,3
Birthing Center,2021-05,33935.07,928,676,20
Hand PT,2018-04,33890.93,3627,1335,3
Psychoanalyst,2018-03,33886.08,581,400,6
Birthing Center,2019-08,33774.19,457,341,9
School NP,2024-02,33726.06,651,574,4
Legal Medicine,2021-11,33688.27,715,549,3
Doula,2023-02,33615.61,128,91,3
Recreation Therapist,2023-02,33604.119999999995,361,120,5
Birthing Center,2022-10,33562.72,1057,741,16
Birthing Center,2020-08,33548.3,767,595,18
