specialty,claim_month,total_paid,total_claims,total_beneficiaries,num_providers
Community/Behavioral Health,2021-01,707575566.9499998,6766161,2069645,5136
Community/Behavioral Health,2020-12,705960100.6200001,6810754,2042785,5097
Case Management Agency,2021-12,705484332.8499999,5946984,1811905,2461
Case Management Agency,2021-11,704884643.17,5978370,1789440,2466
General Acute Care Hospital,2019-05,704092782.4,18015048,14363821,2345
General Acute Care Hospital,2019-01,701954811.48,17801284,14238168,2372
General Acute Care Hospital,2021-01,700205532.2199998,17507239,14189097,2412
Case Management Agency,2021-06,699771587.2700002,5834699,1615967,2514
Community/Behavioral Health,2020-01,696734439.9700003,6955509,2040751,4907
General Acute Care Hospital,2020-11,695657310.8299999,16706413,13679161,2377
Case Management Agency,2021-05,695283989.64,5721827,1578775,2525
Community/Behavioral Health,2020-09,695170587.6400003,6691133,1986901,4932
Case Management Agency,2021-04,694868431.1899998,5906667,1641500,2518
Case Management Agency,2022-01,694708420.0999999,5680154,1780480,2474
Community/Behavioral Health,2021-02,692479371.02,6646746,2071408,5208
General Acute Care Hospital,2020-12,687949334.7900001,16483936,13413172,2382
Home Health Agency,2024-12,685843925.42,4831673,603690,4003
Case Management Agency,2023-03,685445753.0699998,6052040,1927336,2606
General Acute Care Hospital,2018-01,684617548.0999999,17978730,14017093,2432
Case Management Agency,2023-05,683760515.26,5900270,1857054,2610
General Acute Care Hospital,2018-05,683126580.9499999,16946044,13611115,2367
General Acute Care Hospital,2019-09,681296220.1800001,17715926,14404729,2381
Community/Behavioral Health,2020-11,679409689.7099999,6493801,1988781,5080
Community/Behavioral Health,2020-07,677941427.24,6636727,1888473,4738
General Acute Care Hospital,2020-09,674797143.6800001,16845615,13715030,2339
General Acute Care Hospital,2020-07,672121888.8499998,16228724,13115991,2351
Case Management Agency,2022-02,668583804.8100002,7398830,1776077,2489
General Acute Care Hospital,2019-08,667252531.84,17611044,14173893,2368
General Acute Care Hospital,2020-08,665353977.67,16352790,13280068,2330
Community/Behavioral Health,2020-08,665290163.72,6487595,1886501,4762
General Acute Care Hospital,2019-07,665003471.22,17420038,13906879,2349
Case Management Agency,2021-01,664548375.77,5518344,1511764,2463
Community/Behavioral Health,2020-06,664397875.46,6528843,1870652,4723
Case Management Agency,2023-04,660137784.5299997,5679490,1823899,2606
Case Management Agency,2020-12,659030662.8000001,5494667,1494627,2430
General Acute Care Hospital,2018-10,657054238.7699999,16688441,13449178,2360
Community/Behavioral Health,2020-03,656142284.4499998,6512479,1953578,4870
Case Management Agency,2023-06,655792786.7700002,5635066,1799593,2599
Community/Behavioral Health,2019-05,653080572.3099998,6546906,1835321,4675
Community/Behavioral Health,2020-02,652261376.2599998,6422894,1942687,4878
Case Management Agency,2023-01,651735989.1599998,5943330,1884497,2556
General Acute Care Hospital,2018-03,650951844.4199998,16777453,13458500,2391
General Acute Care Hospital,2021-02,649758175.7400001,16385083,13437151,2375
Case Management Agency,2020-10,648413933.68,5380522,1545935,2430
General Acute Care Hospital,2024-11,646441644.4599999,13224614,11565093,2160
General Acute Care Hospital,2018-08,645717987.4300001,16636570,13394316,2354
Community/Behavioral Health,2019-08,644280718.0799999,6407753,1799479,4692
Community/Behavioral Health,2019-04,642866073.8299998,6400666,1850790,4674
General Acute Care Hospital,2018-04,642778410.0200001,16221092,13002673,2379
General Acute Care Hospital,2019-02,642600528.6800001,16399087,13240356,2331
Community/Behavioral Health,2020-04,638514769.33,6425030,1791876,4603
Community/Behavioral Health,2020-05,637221901.2800001,6228628,1766196,4632
Community/Behavioral Health,2019-11,634014326.4899999,6200720,1854573,4784
Community/Behavioral Health,2019-07,633864321.77,6294994,1733964,4640
Community/Behavioral Health,2019-03,632717782.98,6223515,1805192,4595
Case Management Agency,2022-10,631207312.1700001,5898121,1853314,2547
Community/Behavioral Health,2019-09,631177748.8200002,6195334,1819402,4700
Case Management Agency,2020-11,628311450.17,5159125,1473087,2421
Clinical Lab,2022-01,627723514.15,29689374,24857905,2623
Case Management Agency,2021-02,627207159.4900001,5206748,1507057,2480
Community/Behavioral Health,2019-12,625827761.5399998,6169837,1833751,4777
Case Management Agency,2022-08,625426140.8099998,5749609,1792180,2512
General Acute Care Hospital,2019-06,625369632.62,16330318,13179940,2332
General Acute Care Hospital,2018-06,622230101.02,15451835,12483163,2346
General Acute Care Hospital,2018-07,621838788.24,15804480,12737034,2346
Case Management Agency,2023-02,621662901.06,5501413,1806309,2557
Case Management Agency,2022-12,621117574.3900001,5704868,1791340,2528
Community/Behavioral Health,2018-10,619546065.68,6314992,1763485,4381
Case Management Agency,2020-01,619438535.61,5416185,1473106,2276
Case Management Agency,2022-11,615948777.7600001,5759551,1819739,2531
Community/Behavioral Health,2019-01,614009658.4599999,6196167,1787242,4548
Case Management Agency,2020-09,613322402.75,5118293,1466125,2361
General Acute Care Hospital,2020-06,613234099.5699999,14968233,12152018,2394
General Acute Care Hospital,2018-02,611826362.2100002,15826554,12660386,2403
Case Management Agency,2020-07,609666972.6,5083806,1362816,2272
Case Management Agency,2019-10,609557100.0899999,5464436,1451318,2237
Case Management Agency,2022-09,609419695.1200001,5713915,1811872,2532
General Acute Care Hospital,2020-03,603821099.09,14566007,11672434,2399
Case Management Agency,2020-08,602207805.54,4940856,1378210,2303
General Acute Care Hospital,2018-12,602108306.9499999,15023165,12024963,2304
Case Management Agency,2022-07,600070498.02,5423146,1700945,2486
Case Management Agency,2020-03,599185405.41,5026634,1346643,2286
Community/Behavioral Health,2019-06,597081761.8599999,5884927,1684882,4595
Case Management Agency,2020-06,594299320.04,4804589,1318732,2263
General Acute Care Hospital,2018-09,593217415.25,15187207,12378118,2344
Community/Behavioral Health,2018-05,588434053.35,6040931,1728959,4397
General Acute Care Hospital,2018-11,588346975.74,14947798,12107819,2320
Case Management Agency,2020-05,583497949.1,4601637,1212741,2251
