billing_npi,state,specialty,paid_2023,paid_2024,growth,peers,z_growth
1558506485,MA,Mental Health Counselor,91.98,12768.63,137.81963470319633,219,13.86170083663992
1265545446,IL,Obstetrics & Gynecology,178.12,15338.120000000003,85.11116101504605,481,13.830760475094555
1720789340,VA,Home Health Agency,60472.17,2600182.02,41.9979942839822,379,13.809969363066653
1568852283,IL,Internal Medicine,106.86,5409.0,49.61763054463784,2159,13.774697581422934
1396884227,AL,Optometrist,1349.3600000000001,336425.67,248.3223972846386,195,13.747597549072394
1821134040,CA,Hospice,0.17,18795.12,110558.5294117647,191,13.743089656231504
1083864995,RI,Other,259.29,23673.74,90.30217131397276,420,13.740004873454637
1508032970,NY,Podiatrist,3.68,384.5,103.4836956521739,341,13.699775532190449
1134781412,IL,Family Medicine,678.82,41262.759999999995,59.7860110191214,1633,13.676644530984122
1821876814,OH,Optometrist,217.58999999999997,17387.030000000002,78.9073027253091,525,13.661946991735537
1255045514,WA,Other,1000.55,120152.65999999999,119.08661236320023,860,13.60233704933773
1093411647,ME,Other,15026.4,560714.54,36.31529441516265,255,13.566940461763705
1467079194,AR,Optometrist,405.0,14859.420000000002,35.689925925925934,207,13.554721415724021
1306115548,PA,DME Supplier,277.22,217037.96,781.9087367433806,191,13.548396635747878
1851796650,FL,Pediatrics,5299.23,96969.81,17.29884907807361,478,13.5069799371157
