billing_npi,state,specialty,paid_2023,paid_2024,growth,peers,z_growth
1114540895,IN,Dentist,52.0,11564.0,221.3846153846154,200,13.486698681038925
1558878769,OR,Mental Health Counselor,462.22,57544.61,123.49614901994721,222,13.45697622282712
1518111434,VA,Family Medicine,3285.4700000000003,230525.33999999997,69.16510270981014,202,13.45171178329754
1932769932,PR,General Practice,7286.639999999999,514239.89,69.57297876661947,348,13.446567144464964
1194414805,VA,Internal Medicine,156.49,320717.63,2048.4448846571663,183,13.446357577879224
1457394793,PA,Family Medicine,803.25,107823.97,133.2346342981637,1545,13.392299559963991
1306299938,FL,Specialist,4906.79,297246.25999999995,59.5785574683245,236,13.368196576523722
1043337272,CA,Physical Therapist,4233.89,281940.68,65.59140412245003,209,13.361758252736998
1902997851,MN,Home Health Agency,1471.97,875717.48,593.9288912138155,217,13.326769984050411
1427001619,NY,Pulmonary Disease,10.47,834.9200000000001,78.74403056351481,199,13.306311423228085
1790563872,NC,Community/Behavioral Health,10263.96,456808.87,43.50610388193251,485,13.304714576015845
1033772082,OH,Other,863.2,397629.24999999994,459.6455630213159,1571,13.285122176456381
1801580170,KY,Chiropractor,652.45,52087.94,78.83437811326539,307,13.262001539876193
1407458946,IL,Federally Qualified Health Ctr,8287.150000000001,1225827.74,146.9190964324285,178,13.2535312385817
1821439514,CA,Specialist,49.44,6057.51,121.52245145631069,592,13.24465823729162
1538166210,IL,Nephrology,257.63,9435.68,35.624927221208715,229,13.226728764742546
1538422548,MI,Internal Medicine,2566.51,106329.28000000001,40.429521022711775,451,13.212905249566818
1295421667,AL,Family Medicine,3447.5200000000004,134407.59,37.986746994941285,222,13.185038467013158
1588690812,IL,Other,157.35,12635.880000000001,79.30428979980935,4835,13.167518354165903
1851166037,LA,Community/Behavioral Health,39778.48,2737502.88,67.81868990469218,186,13.157996872869274
1700495926,NY,Physical Therapist,3.58,432.51,119.81284916201116,497,13.143062617645404
1801037973,TX,Obstetrics & Gynecology,18.38,848.7299999999999,45.17682263329706,232,13.131826509449724
1083070692,PR,Internal Medicine,575.0,93567.86,161.72671304347827,191,13.116575763398536
1942398623,NJ,Specialist,2239.2200000000003,47565.340000000004,20.24192352694242,186,13.098889041146405
1093424723,NC,Other,235.29,30811.850000000002,129.95265417144802,1743,13.093028220674721
1477704872,NY,Optometrist,217.89,17363.68,78.69011886731838,849,13.057173524029178
1740961499,LA,In Home Supportive Care,38558.74,1297803.43,32.65782777134315,205,13.052302915566505
1225217789,WI,Local Education Agency (LEA),407.54,2909.0099999999998,6.137974186582912,318,12.985296611144276
1609540681,FL,Case Management Agency,8267.95,2629752.8899999997,317.06589178696044,183,12.93117922403755
1104570167,MD,Mental Health Center,32568.38000000001,3188406.99,96.89885127844859,391,12.905610041091995
1376694844,NJ,Dentist,1270.0,114475.31000000001,89.13803937007874,316,12.889418616415458
1265545024,OH,Other,17.0,7594.0,445.70588235294116,1571,12.87881825719619
1720796600,TX,Dental Clinic,1513.5,360847.06999999995,237.41894284770396,172,12.87270090994066
1548893076,CA,Other,241.2,166249.15,688.2584991708126,5587,12.789676418395691
1457321135,WA,Optometrist,236.45999999999998,11288.879999999997,46.74118244100482,245,12.783563539979717
1710113170,OH,Dentist,1050.68,174779.72,165.34914531541477,198,12.738948899146958
1902069826,FL,Clinic/Center,147.66,62174.87000000001,420.06779087091974,165,12.73152012221696
1497258263,CA,General Practice,105.0,17756.94,168.11371428571428,184,12.728810446575924
1649759341,NC,Optometrist,36.86,1461.14,38.64026044492675,269,12.707846955164053
1396497392,AR,Other,758.04,30453.620000000003,39.1741596749512,620,12.691782037061799
1528177730,OH,Internal Medicine,8765.86,595156.0900000001,66.89477472832101,257,12.651562113086264
1144002171,LA,Non-Emergency Transport,1745.38,202996.74000000002,115.30518282551651,307,12.61543876468573
1164836094,PA,Student,933.25,65545.96,69.23408518617734,283,12.593899731057807
1164101754,ID,Other,4836.86,545975.51,111.87808826387368,319,12.565446535039975
1770964843,FL,Community/Behavioral Health,155.17,18254.48,116.64181220596765,232,12.558481108211977
1316304959,TX,Case Management Agency,520.69,56094.869999999995,106.73179819086211,161,12.555794528961277
1619429818,KY,Nursing Home,570.4,13903.35,23.374737026647967,194,12.55340301920367
1275596421,OK,Family Medicine,296.63,6340.16,20.373967569025385,197,12.551845019735582
1992867204,MI,Pediatrics,1612.9999999999998,31860.46,18.752300061996284,205,12.541827296050053
1427742196,TX,Professional Counselor,1521.45,42020.869999999995,26.618962174241673,420,12.50865358030291
1700464443,RI,Other,1196.0,99561.1,82.24506688963211,420,12.503331608395726
1912654989,SC,Other,134.5,9294.679999999998,68.10542750929366,703,12.484191315431529
1144262833,FL,General Practice,1387.14,605739.6,435.68238245598855,186,12.465958071459154
1376941005,MI,Home Health Agency,2505.54,517712.46000000014,205.62709835005634,158,12.461331314208579
1861029480,NY,Student,52.54,4463.67,83.95755614769699,847,12.44915941392082
1023472891,TX,Clinical Lab,0.87,11760.66,13517.0,157,12.448368478806902
1982709689,FL,Cardiovascular Disease,17.810000000000002,2434.24,135.67827063447498,164,12.440480865106927
1568534345,OH,Chiropractor,207.48,8993.0,42.3439367649894,334,12.420369477475562
1982381752,AR,Federally Qualified Health Ctr,24.82,19326.99,777.6861402095085,156,12.406956399946482
1972018208,NY,Infectious Disease,128.58,20514.170000000002,158.54401928760305,160,12.397648708349408
1093472011,PR,Other,412.45,153120.37,370.24589647229965,1093,12.389384064022662
1265926216,NY,Community/Behavioral Health,3625.59,2918656.9,804.0157077882495,155,12.367420819245845
1780700823,TX,Day Training/Habilitation,1475.27,168800.00999999998,113.4197401153687,157,12.347051487882188
1962276170,MA,Dentist,2443.64,140829.9,56.63119772143196,223,12.335477133175461
1558083766,MN,Clinic/Center,9845.81,403179.89,39.94938760752036,188,12.313763667614085
1396957676,IN,Local Education Agency (LEA),542.72,29103.309999999994,52.62490787146225,230,12.303094165572357
1811254105,KY,Other,85.26,10466.41,121.75873797794979,891,12.277981081866214
1750525341,NY,Dermatology,1406.3300000000002,78171.88,54.585730234013354,182,12.25444473825463
1962599571,TX,Family Medicine,332.12,19319.1,57.169035288449955,598,12.248329117277798
1134398670,OH,DME Supplier,28.86,1851.0499999999997,63.138946638946635,176,12.246965349017465
1568240240,MD,Dentist,2905.9300000000003,114783.48999999999,38.49974362768545,164,12.233109118506569
1962709766,IL,Physical Therapist,99.69,11796.099999999999,117.32781623031396,203,12.19913279747482
1023631306,TX,Rural Health,64.73,16424.43,252.7375251042793,181,12.18805517956978
1598220857,NY,Internal Medicine,344.36,59202.060000000005,170.91909629457544,3262,12.18413399932713
1215102892,FL,Obstetrics & Gynecology,1163.4,56457.98,47.52843390063607,158,12.172181653274663
1801679287,ID,Other,654.05,71551.73999999998,108.39796651632135,319,12.17181792298143
1043627870,TX,Family Medicine,4191.79,241667.15,56.65249451904795,598,12.137207729909763
1386806149,PA,Pediatrics,392.0,8925.89,21.77012755102041,705,12.129759299429661
1932388931,NJ,Internal Medicine,252.3,11199.28,43.388743559254856,501,12.115338286058067
1174252019,MO,Optometrist,90.95,19235.97,210.5004947773502,149,12.090771563141601
1013699651,RI,Pediatrics,9.54,12978.82,1359.4633123689728,148,12.08302072290358
1790906428,TX,Adult Day Care,9986.88,221602.58,21.189370454035696,251,12.04610646757087
1861518722,TX,Local Education Agency (LEA),99.75,883.03,7.852431077694236,550,12.04174729439512
1558026880,AZ,Other,125.58,10046.24,78.99872591176938,905,12.035735023176528
1861598765,MS,Optometrist,268.44,8610.109999999999,31.074616301594396,185,12.019134356363187
1306200985,AZ,Other,905.87,72297.22,78.80970779471669,905,12.00668551246524
1205375615,CA,Marriage & Family Therapist,294.06,27811.93,93.57909950350269,665,11.995862117795632
1326723578,IL,Registered Nurse,54.34,29381.72,539.7015090172985,220,11.97607564887086
1265919005,TN,Internal Medicine,394.38,81790.84,206.39094274557533,149,11.969634461335705
1427669746,WI,Optometrist,1741.6599999999999,167346.94999999998,95.08474099422389,169,11.961316360179143
1366166076,FL,Other,250.0,330539.82999999996,1321.1593199999998,2796,11.956091844410004
1710324157,SC,Other,59.21,3920.9100000000003,65.22040195912852,703,11.95031147968714
1184260127,NY,Early Intervention Provider,12104.849999999999,591092.3999999999,47.83103879849812,180,11.948736344937004
1053757138,VT,Other,480.0,37615.5,77.365625,149,11.932044975141052
1043628316,CA,Pediatrics,32.73,3272.7,98.99083409715857,486,11.912596078737263
1215507751,OH,Home Health Agency,2290.9,494926.3999999999,215.04015888951935,580,11.8876863661146
1811371966,TX,Pediatrics,10.49,702.26,65.94566253574833,695,11.852914481666538
1457062101,MO,Rural Health,355.8,127839.26000000001,358.3008993816751,142,11.812397783804212
1265172266,CA,Urgent Care,1041.05,82948.90000000002,78.67811344315838,179,11.811412399819634
1992823389,IL,Pediatrics,803.11,21981.15,26.37003648317167,1058,11.77643417797587
1831728658,IL,Family Medicine,801.2,42036.83,51.467336495257115,1633,11.758458686528193
1396067682,NY,Surgery,286.86,71082.64,246.79557972530154,141,11.748550186666748
1932284908,MN,Local Education Agency (LEA),391.68,3167.44,7.086805555555555,259,11.74667458492802
1134612468,CA,End-Stage Renal Disease,35828.0,697938.28,18.480246734397678,621,11.729917120180472
1730827684,MI,Dentist,5351.44,158291.93999999997,28.579316968890613,315,11.723912135936583
1417132580,PA,Case Management Agency,2659.2,42433.2,14.957129963898916,173,11.702283899685918
1639858855,MO,Family Medicine,821.86,17036.260000000002,19.728907599834525,171,11.607380552197458
1235166125,TX,Specialist,12059.23,213521.78,16.706087370420832,195,11.606458673816567
1215389846,TX,Optometrist,15.0,692.16,45.144,843,11.594359916118307
1306624143,CT,Other,1261.1,125814.76,98.76588692411387,759,11.591850196596173
1184087389,WI,Community/Behavioral Health,3528.2299999999996,1548982.91,438.0254915354158,137,11.589856969110055
1760149447,CT,Clinical Social Worker,6435.9400000000005,130843.99,19.33020662094426,258,11.582466868974352
1023761970,MD,Family Medicine,282.35,29549.359999999997,103.65507349034884,146,11.579964375806128
1144749771,FL,Assisted Living Facility,6200.0,211194.9,33.06369354838709,349,11.576643748506928
1578865770,NE,Chiropractor,572.98,12355.68,20.563894027714753,164,11.576524494209414
1952929424,IL,Other,1312.5,92910.66,69.78907428571429,4835,11.573876155020457
1720153984,FL,Local Education Agency (LEA),5794.92,80175.38,12.835459333347139,166,11.541060762953355
1801135322,PA,Internal Medicine,192.5,16319.689999999999,83.77761038961039,824,11.535144283242735
1780896316,FL,Family Medicine,12.99,1158.93,88.21709006928407,400,11.483131136155178
1326726563,LA,Federally Qualified Health Ctr,4889.68,244254.94999999998,48.953156443775455,212,11.44029972142955
1013565290,NC,In Home Supportive Care,8397.63,176088.2,19.968797148719343,291,11.426489370391428
1114049897,PR,Dentist,304.71,15739.089999999997,50.65268616061172,173,11.40746217858054
1073211637,WV,Other,359.0,178561.21,496.3849860724234,423,11.401288039599919
1457402802,NY,Pediatrics,122.4,4982.21,39.70433006535948,866,11.367512671826788
1578056297,PA,Physician Assistant,59.86,8077.51,133.94002672903443,232,11.317016893487153
1063918688,NY,Ambulance,309.93000000000006,8347.890000000001,25.934759461813957,184,11.311622606825154
1609371301,IL,Ophthalmology,849.5,10851.039999999999,11.77344320188346,265,11.288884679182923
